un_number,name_zh,name_en,class_or_division,subsidiary_hazard,packing_group,special_provisions,limited_quantities,excepted_quantities,packing_instruction,special_packing_provisions,portable_tank_instruction,portable_tank_special_provisions
0004,苦味酸铵，干的或湿的，按 质量含水低于10%,"AMMONIUM PICRATE dry or wetted with less than 10% water, by mass",1.1D,-,-,-,0,E0,P112(a) P112(b) P112(c),PP26,-,-
0005,武器子(炮)弹，带爆破 装药,CARTRIDGES FOR WEAPONS with bursting charge,1.1F,-,-,-,0,E0,P130 LP101,-,-,-
0006,武器子(炮)弹，带爆破 装药,CARTRIDGES FOR WEAPONS with bursting charge,1.1E,-,-,-,0,E0,P130 LP101,PP67 L1,-,-8
0007,武器子(炮)弹，带爆破 装药,CARTRIDGES FOR WEAPONS with bursting charge,1.2F,-,-,-,0,E0,P130 LP101,-,-,-
0009,燃烧弹药，带或不带爆破 装药、发射装药或推进 装药,"AMMUNITION, INCENDIARY with or without burster, expelling charge or propelling charge",1.2G,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0010,燃烧弹药，带或不带爆破 装药、发射装药或推进 装药,"AMMUNITION, INCENDIARY with or without burster, expelling charge or propelling charge",1.3G,-,-,-,0,E0,P130 LP101,PP67 L1,-,-
0012,武器子(炮)弹，带惰性射 弹或轻武器子弹,"CARTRIDGES FOR WEAPONS, INERTPROJECTILE or CARTRIDGES, SMALL ARMS",1.4S,-,-,364,5 kg,E0,P130 LP101,-,-,-
0014,武器子(炮)弹，空包弹；或 轻武器子弹，空包弹；或工 具子弹，空包弹,"CARTRIDGES FOR WEAPONS, BLANK or CARTRIDGES, SMALL ARMS, BLANK or CARTRIDGES FOR TOOLS,BLANK",1.4S,-,-,364,5 kg,E0,P130 LP101,-,-,-
0015,发烟弹药，带或不带爆破 装药、发射装药或推进 装药,"AMMUNITION, SMOKE with or without burster, expelling charge or propelling charge",1.2G,-,-,204,0,E0,P130 LP101,PP67 L1,-,-
0016,发烟弹药，带或不带爆破 装药、发射装药或推进 装药,"AMMUNITION, SMOKE with or without burster, expelling charge or propelling charge",1.3G,-,-,204,0,E0,P130 LP101,PP67 L1,-,-
0018,催泪弹药，带有爆破装药、 发射装药或推进装药,"AMMUNITION, TEAR-PRODUCING with burster, expelling charge or propelling charge",1.2G,6.1 8,-,-,0,E0,P130 LP101,PP67 L1,-,-
0019,催泪弹药，带有爆破装药、 发射装药或推进装药,"AMMUNITION, TEAR-PRODUCING with burster, expelling charge or propelling charge",1.3G,6.1 8,-,-,0,E0,P130 LP101,PP67 L1,-,-
